出現時間, AIタイプ, 出現位置, 敵タイプ, ｘｙ調整, 移動方向, 移動速度, ブレーキ, 待機時間, 加算移動方向, 最低速度, 弾発射時間
t, AI, angle, type, pos, dir, speed, brake, waitTimer, plusDir, waitSpeed, waitShot
380,Normal,1,0,0,0,6,0.1,120,0,0,0
381,Normal,1,0,60,0,6,0.1,120,0,0,0
382,Normal,1,0,120,0,6,0.1,120,0,0,0
383,Normal,1,0,180,0,6,0.1,120,0,0,0
384,Normal,1,0,240,0,6,0.1,120,0,0,0
440,Normal,1,1,100,0,6,0.08,120,0,0,0
441,Normal,1,1,160,0,6,0.08,120,0,0,0
442,Normal,1,1,220,0,6,0.08,120,0,0,0
443,Normal,1,1,280,0,6,0.08,120,0,0,0
444,Normal,1,1,340,0,6,0.08,120,0,0,0
530,Chase,1,1,0,0,3,0,120,0,0,0
550,Chase,1,1,66,0,3,0,120,0,0,0
570,Chase,1,1,132,0,3,0,120,0,0,0
590,Chase,1,1,198,0,3,0,120,0,0,0
610,Chase,1,1,264,0,3,0,120,0,0,0
630,Chase,1,1,330,0,3,0,120,0,0,0
650,Chase,1,0,330,0,3,0,120,0,0,0
670,Chase,1,0,264,0,3,0,120,0,0,0
690,Chase,1,0,198,0,3,0,120,0,0,0
710,Chase,1,0,132,0,3,0,120,0,0,0
730,Chase,1,0,66,0,3,0,120,0,0,0
750,Chase,1,0,0,0,3,0,120,0,0,0
780,Normal,1,2,220,0,5,0.07,999,0,1,0
900,Normal,1,2,147,0,5,0.07,999,0,1,0
980,Normal,1,2,74,0,5,0.07,999,0,1,0
1040,Normal,1,2,0,0,5,0.07,999,0,1,0
1080,Normal,1,0,200,0,5,0.09,120,0,0,0
1081,Normal,1,0,260,0,5,0.08,120,0,0,0
1082,Normal,1,0,320,0,5,0.07,120,0,0,0
1083,Chase,1,1,200,0,4,0,120,0,0,0
1084,Chase,1,1,260,0,4,0,120,0,0,0
1085,Chase,1,1,320,0,4,0,120,0,0,0
1170,Normal,1,0,0,0,5,0.07,120,0,0,0
1171,Normal,1,0,60,0,5,0.08,120,0,0,0
1172,Normal,1,0,120,0,5,0.09,120,0,0,0
1173,Chase,1,1,0,0,4,0,120,0,0,0
1174,Chase,1,1,60,0,4,0,120,0,0,0
1175,Chase,1,1,120,0,4,0,120,0,0,0
1220,Normal,2,3,200,270,5,0.05,120,-1,1,0
1250,Chase,1,0,170,0,3,0,120,0,0,0
1270,Chase,1,0,170,0,3,0,120,0,0,0
1290,Chase,1,0,170,0,3,0,120,0,0,0
1310,Chase,1,0,170,0,3,0,120,0,0,0
1330,Chase,1,0,170,0,3,0,120,0,0,0
1340,Normal,0,3,200,90,5,0.05,120,1,1,0
1350,Chase,1,0,170,0,3,0,120,0,0,0
1370,Chase,1,0,170,0,3,0,120,0,0,0
1390,Chase,1,0,170,0,3,0,120,0,0,0
1410,Chase,1,0,170,0,3,0,120,0,0,0
1430,Chase,1,0,170,0,3,0,120,0,0,0
1450,Chase,1,0,170,0,3,0,120,0,0,0
1470,Chase,1,0,170,0,3,0,120,0,0,0
1490,Chase,1,0,170,0,3,0,120,0,0,0
1510,Chase,1,0,170,0,3,0,120,0,0,0
1530,Chase,1,0,170,0,3,0,120,0,0,0
1531,Normal,1,1,0,0,6,0.1,180,0,0,0
1532,Normal,1,1,30,0,5,0.1,180,0,0,0
1533,Normal,1,1,60,0,6,0.1,180,0,0,0
1534,Normal,1,1,90,0,5,0.1,180,0,0,0
1535,Normal,1,1,120,0,6,0.1,180,0,0,0
1451,Normal,1,2,220,0,5,0.1,999,0,1,0
1590,Normal,1,4,220,0,6,0.1,0,0,1,0
1620,Normal,1,4,120,0,6,0.1,0,0,1,0
1621,Chase,1,0,0,0,4,0,180,0,0,0
1640,Chase,1,0,66,0,4,0,180,0,0,0
1660,Chase,1,0,132,0,4,0,180,0,0,0
1680,Chase,1,0,198,0,4,0,180,0,0,0
1700,Chase,1,0,264,0,4,0,180,0,0,0
1720,Chase,1,0,330,0,4,0,180,0,0,0
1740,Chase,1,1,0,0,4,0,180,0,0,0
1760,Chase,1,1,66,0,4,0,180,0,0,0
1780,Chase,1,1,132,0,4,0,180,0,0,0
1800,Chase,1,1,198,0,4,0,180,0,0,0
1820,Chase,1,1,264,0,4,0,180,0,0,0
1840,Chase,1,1,330,0,4,0,180,0,0,0
1870,Normal,1,4,120,0,5,0.07,0,0,1,0
1900,Normal,1,4,220,0,5,0.07,0,0,1,0
1960,Normal,1,4,0,0,5,0.07,0,0,1,0
1990,Normal,1,4,100,0,5,0.07,0,0,1,0
2020,Normal,1,4,200,0,5,0.07,0,0,1,0
2050,Normal,1,4,300,0,5,0.07,0,0,1,0
2100,Normal,2,3,200,290,5,0.03,180,-0.55,1,0
2210,Normal,1,0,340,0,7,0.1,60,0,0,0
2211,Normal,1,0,310,0,7,0.09,60,0,0,0
2212,Normal,1,0,280,0,7,0.09,60,0,0,0
2213,Normal,1,0,250,0,7,0.1,60,0,0,0
2270,Normal,2,3,200,290,5,0.03,180,-0.55,1,0
2380,Normal,1,0,340,0,7,0.1,60,0,0,0
2381,Normal,1,0,310,0,7,0.09,60,0,0,0
2382,Normal,1,0,280,0,7,0.09,60,0,0,0
2383,Normal,1,0,250,0,7,0.1,60,0,0,0
2440,Normal,0,4,100,30,2.8,0,60,1,0,0
2480,Normal,0,4,100,30,2.8,0,60,1,0,0
2530,Normal,1,11,135,0,5,0.08,99999,0,1,0
2660,Chase,2,1,0,0,3,0,120,1,0,0
2680,Chase,2,1,0,0,3,0,120,1,0,0
2700,Chase,2,1,0,0,3,0,120,1,0,0
2720,Chase,2,1,0,0,3,0,120,1,0,0
2740,Chase,2,1,0,0,3,0,120,1,0,0
2770,Normal,1,2,220,0,5,0.1,999,0,1,0
2800,Chase,1,0,0,0,3,0,120,0,0,0
2820,Chase,1,0,0,0,3,0,120,0,0,0
2840,Chase,1,0,0,0,3,0,120,0,0,0
2860,Chase,1,0,0,0,3,0,120,0,0,0
2880,Chase,1,0,0,0,3,0,120,0,0,0
2910,Normal,1,2,0,0,5,0.1,999,0,1,0
2940,Chase,1,0,0,0,4,0,120,0,0,0
2960,Chase,1,0,66,0,4,0,120,0,0,0
2980,Chase,1,0,132,0,4,0,120,0,0,0
3000,Chase,1,0,198,0,4,0,120,0,0,0
3020,Chase,1,0,264,0,4,0,120,0,0,0
3040,Chase,1,0,330,0,4,0,120,0,0,0
3060,Chase,1,0,0,0,4,0,120,0,0,0
3080,Chase,1,0,66,0,4,0,120,0,0,0
3100,Chase,1,0,132,0,4,0,120,0,0,0
3120,Chase,1,0,198,0,4,0,120,0,0,0
3140,Chase,1,0,264,0,4,0,120,0,0,0
3160,Chase,1,0,330,0,4,0,120,0,0,0
3180,Chase,1,0,0,0,4,0,120,0,0,0
3200,Chase,1,0,66,0,4,0,120,0,0,0
3220,Chase,1,0,132,0,4,0,120,0,0,0
3240,Chase,1,0,198,0,4,0,120,0,0,0
3260,Chase,1,0,264,0,4,0,120,0,0,0
3280,Chase,1,0,330,0,4,0,120,0,0,0
3300,Normal,1,2,220,0,6,0.1,999,0,1,0
3301,Normal,1,2,0,0,6,0.1,999,0,1,0
