出現時間, AIタイプ, 出現位置, 敵タイプ, ｘｙ調整, 移動方向, 移動速度, ブレーキ, 待機時間, 加算移動方向, 最低速度, 弾発射時間
t, AI, angle, type, pos, dir, speed, brake, waitTimer, plusDir, waitSpeed, waitShot
200,WARNING,1,22,30,0,6,0.05,9999,0,0,0
201,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
202,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
203,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
204,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
205,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
206,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
207,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
208,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
209,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
210,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
211,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
212,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
213,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
214,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
215,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
216,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
217,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
218,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
500,WALL,1,22,30,0,6,0.05,9999,0,0.1,0.2
501,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
502,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
503,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
504,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
505,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
506,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
507,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
508,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
509,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
510,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
511,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
512,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
513,WALL,1,22,30,0,6,0.05,9999,0,0.4,0.8
600,BGM,0,23,30,0,6,0.05,9999,0,0,-90
601,Boss3,1,23,30,0,6,0.05,9999,0,0,-90
660,CLEAR,1,23,30,0,6,0.05,9999,0,0,-90
-1,,,,,,,,,,,
0,,,,,,,,,,,
