出現時間, AIタイプ, 出現位置, 敵タイプ, ｘｙ調整, 移動方向, 移動速度, ブレーキ, 待機時間, 加算移動方向, 最低速度, 弾発射時間
t, AI, angle, type, pos, dir, speed, brake, waitTimer, plusDir, waitSpeed, waitShot
320,Obstacle0,1,6,0,0,6,0,0,0,0,0
321,Obstacle0,1,6,32,0,6,0,0,0,0,0
322,Obstacle0,1,6,64,0,6,0,0,0,0,0
323,Obstacle0,1,6,96,0,6,0,0,0,0,0
324,Obstacle0,1,6,128,0,6,0,0,0,0,0
325,Obstacle0,1,6,160,0,6,0,0,0,0,0
326,Obstacle0,1,6,192,0,6,0,0,0,0,0
327,Obstacle0,1,6,224,0,6,0,0,0,0,0
328,Obstacle0,1,6,256,0,6,0,0,0,0,0
370,Obstacle0,1,6,256,0,6,0,0,0,0,0
371,Obstacle0,1,6,224,0,6,0,0,0,0,0
372,Obstacle0,1,6,192,0,6,0,0,0,0,0
373,Obstacle0,1,6,160,0,6,0,0,0,0,0
374,Obstacle0,1,6,128,0,6,0,0,0,0,0
375,Obstacle0,1,6,96,0,6,0,0,0,0,0
376,Obstacle0,1,6,64,0,6,0,0,0,0,0
377,Obstacle0,1,6,32,0,6,0,0,0,0,0
378,Obstacle0,1,6,0,0,6,0,0,0,0,0
420,Chase,1,1,0,0,3,0,120,0,0,0
421,Chase,1,1,110,0,3,0,120,0,0,0
422,Chase,1,1,220,0,3,0,120,0,0,0
423,Chase,1,1,330,0,3,0,120,0,0,0
440,Chase,1,1,0,0,3,0,120,0,0,0
441,Chase,1,1,110,0,3,0,120,0,0,0
442,Chase,1,1,220,0,3,0,120,0,0,0
443,Chase,1,1,330,0,3,0,120,0,0,0
460,Chase,1,1,0,0,3,0,120,0,0,0
461,Chase,1,1,110,0,3,0,120,0,0,0
462,Chase,1,1,220,0,3,0,120,0,0,0
463,Chase,1,1,330,0,3,0,120,0,0,0
480,Normal,1,10,0,0,9,0.1,0,1.6,0,0
500,Normal,1,10,0,0,9,0.1,0,1.5,0,0
520,Normal,1,10,0,0,9,0.1,0,1.4,0,0
540,Normal,1,10,0,0,9,0.1,0,1.3,0,0
560,Normal,1,10,0,0,9,0.1,0,1.2,0,0
600,Normal,1,8,230,0,5,0.1,360,0,1,0
640,Normal,0,0,0,90,5,0.07,120,0,0,0
641,Normal,0,0,60,90,5,0.07,120,0,0,0
642,Normal,0,0,120,90,5,0.07,120,0,0,0
643,Normal,0,0,180,90,5,0.07,120,0,0,0
700,Normal,2,0,0,270,5,0.07,120,0,0,0
701,Normal,2,0,60,270,5,0.07,120,0,0,0
702,Normal,2,0,120,270,5,0.07,120,0,0,0
703,Normal,2,0,180,270,5,0.07,120,0,0,0
704,Normal,2,0,240,270,5,0.07,120,0,0,0
760,Normal,1,8,0,0,5,0.1,120,0,1,0
790,Chase,1,1,340,0,3,0,120,0,1,0
810,Chase,1,1,340,0,3,0,120,0,1,0
830,Chase,1,1,340,0,3,0,120,0,1,0
850,Chase,1,1,340,0,3,0,120,0,1,0
870,Chase,1,1,340,0,3,0,120,0,1,0
890,Chase,1,1,340,0,3,0,120,0,1,0
910,Chase,1,1,340,0,3,0,120,0,1,0
930,Chase,1,1,340,0,3,0,120,0,1,0
990,Normal,1,9,0,0,5,0.05,0,0,1,0
1030,Normal,1,8,210,0,5,0.1,360,0,1,0
1160,Normal,1,1,0,0,6,0.1,120,0,0,0
1161,Normal,1,1,54,0,6,0.095,120,0,0,0
1162,Normal,1,1,108,0,6,0.09,120,0,0,0
1163,Normal,1,1,162,0,6,0.085,120,0,0,0
1164,Normal,1,1,216,0,6,0.08,120,0,0,0
1165,Normal,1,11,135,0,6,0.08,99999,0,1,0
1166,Normal,1,1,270,0,6,0.075,120,0,0,0
1300,Normal,1,1,340,0,6,0.1,120,0,0,0
1301,Normal,1,1,286,0,6,0.095,120,0,0,0
1302,Normal,1,1,232,0,6,0.09,120,0,0,0
1303,Normal,1,1,178,0,6,0.085,120,0,0,0
1304,Normal,1,1,124,0,6,0.08,120,0,0,0
1305,Normal,1,1,70,0,6,0.075,120,0,0,0
1340,Normal,0,10,0,90,6,0.1,150,0,0,0
1360,Normal,0,10,80,90,6,0.1,150,0,0,0
1380,Normal,0,10,160,90,6,0.1,150,0,0,0
1400,Normal,0,10,240,90,6,0.1,150,0,0,0
1430,Normal,2,10,0,270,6,0.1,150,0,0,0
1450,Normal,2,10,80,270,6,0.1,150,0,0,0
1470,Normal,2,10,160,270,6,0.1,150,0,0,0
1490,Normal,2,10,240,270,6,0.1,150,0,0,0
1510,Normal,0,10,0,90,6,0.1,150,0,0,0
1530,Normal,0,10,80,90,6,0.1,150,0,0,0
1550,Normal,0,10,160,90,6,0.1,150,0,0,0
1570,Normal,0,10,240,90,6,0.1,150,0,0,0
1620,Normal,1,9,400,-60,4,0.06,150,0,1,0
1660,Normal,1,9,400,-30,4,0.06,150,0,1,0
1700,Chase,0,0,200,0,4,0,150,0,1,0
1720,Chase,0,0,200,0,4,0,150,0,1,0
1740,Chase,0,0,200,0,4,0,150,0,1,0
1760,Chase,0,0,200,0,4,0,150,0,1,0
1780,Chase,0,0,200,0,4,0,150,0,1,0
1800,Chase,0,0,200,0,4,0,150,0,1,0
1820,Chase,0,0,200,0,4,0,150,0,1,0
1840,Chase,0,0,200,0,4,0,150,0,1,0
1860,Chase,0,0,200,0,4,0,150,0,1,0
1880,Chase,0,0,200,0,4,0,150,0,1,0
1900,Normal,1,9,-200,30,4,0.06,150,0,1,0
1940,Normal,1,9,-200,60,4,0.06,150,0,1,0
1941,Chase,2,0,200,0,4,0,150,0,1,0
1961,Chase,2,0,200,0,4,0,150,0,1,0
1981,Chase,2,0,200,0,4,0,150,0,1,0
2001,Chase,2,0,200,0,4,0,150,0,1,0
2021,Chase,2,0,200,0,4,0,150,0,1,0
2041,Chase,2,0,200,0,4,0,150,0,1,0
2061,Chase,2,0,200,0,4,0,150,0,1,0
2081,Chase,2,0,200,0,4,0,150,0,1,0
2101,Chase,2,0,200,0,4,0,150,0,1,0
2121,Chase,2,0,200,0,4,0,150,0,1,0
2180,Normal,2,8,100,270,4,0.04,99999,0,1,0
2200,Chase,1,1,0,0,4,0,150,0,1,0
2220,Chase,1,1,66,0,4,0,150,0,1,0
2240,Chase,1,1,132,0,4,0,150,0,1,0
2260,Chase,1,1,198,0,4,0,150,0,1,0
2280,Chase,1,1,264,0,4,0,150,0,1,0
2300,Chase,1,1,330,0,4,0,150,0,1,0
2320,Chase,1,1,330,0,4,0,150,0,1,0
2340,Chase,1,1,264,0,4,0,150,0,1,0
2360,Chase,1,1,198,0,4,0,150,0,1,0
2380,Chase,1,1,132,0,4,0,150,0,1,0
2400,Chase,1,1,66,0,4,0,150,0,1,0
2420,Chase,1,1,0,0,4,0,150,0,1,0
2440,Chase,1,1,0,0,4,0,150,0,1,0
2460,Chase,1,1,66,0,4,0,150,0,1,0
2480,Chase,1,1,132,0,4,0,150,0,1,0
2500,Chase,1,1,198,0,4,0,150,0,1,0
2520,Chase,1,1,264,0,4,0,150,0,1,0
2540,Chase,1,1,330,0,4,0,150,0,1,0
2560,Chase,1,1,330,0,4,0,150,0,1,0
2580,Chase,1,1,264,0,4,0,150,0,1,0
2600,Chase,1,1,198,0,4,0,150,0,1,0
2620,Chase,1,1,132,0,4,0,150,0,1,0
2640,Chase,1,1,66,0,4,0,150,0,1,0
2660,Chase,1,1,0,0,4,0,150,0,1,0
2680,Chase,1,1,0,0,4,0,150,0,1,0
2690,Chase,1,1,66,0,4,0,150,0,1,0
2700,Chase,1,1,132,0,4,0,150,0,1,0
2710,Chase,1,1,198,0,4,0,150,0,1,0
2720,Chase,1,1,264,0,4,0,150,0,1,0
2730,Chase,1,1,330,0,4,0,150,0,1,0
2740,Chase,1,1,330,0,4,0,150,0,1,0
2750,Chase,1,1,264,0,4,0,150,0,1,0
2760,Chase,1,1,198,0,4,0,150,0,1,0
2770,Chase,1,1,132,0,4,0,150,0,1,0
2780,Chase,1,1,66,0,4,0,150,0,1,0
2790,Chase,1,1,0,0,4,0,150,0,1,0
2795,Chase,1,1,0,0,4,0,150,0,1,0
2800,Chase,1,1,66,0,4,0,150,0,1,0
2805,Chase,1,1,132,0,4,0,150,0,1,0
2810,Chase,1,1,198,0,4,0,150,0,1,0
2815,Chase,1,1,264,0,4,0,150,0,1,0
2820,Chase,1,1,330,0,4,0,150,0,1,0
2825,Chase,1,1,330,0,4,0,150,0,1,0
2830,Chase,1,1,264,0,4,0,150,0,1,0
2835,Chase,1,1,198,0,4,0,150,0,1,0
